                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.353,                 2.9478,                 1.1331,                0.54886,                 0.2715,                0.22339,                0.14433,                 1.0946,                 3.1474,                 1.1103,              0.0001514,              0.0001514,              0.0001514
                      2,                 1.2338,                  1.451,                 1.0797,                0.52097,                 0.2837,                0.28157,                0.16712,                 1.3063,                 2.6185,                 1.2622,             0.00029707,             0.00029707,             0.00029707
                      3,                 1.2068,                 1.2283,                 1.0775,                0.37632,                0.29635,                 0.3016,                0.18256,                 1.2586,                 2.6576,                 1.2213,             0.00043673,             0.00043673,             0.00043673
                      4,                 1.2038,                 1.1424,                 1.0712,                0.51645,                0.30839,                0.36708,                0.25751,                  1.147,                 2.4408,                 1.1436,             0.00042797,             0.00042797,             0.00042797
                      5,                  1.165,                 1.0359,                 1.0561,                0.43254,                0.39436,                0.38117,                0.26515,                 1.1399,                 2.1763,                 1.1377,             0.00042797,             0.00042797,             0.00042797
                      6,                 1.1641,                 1.0199,                  1.062,                 0.4345,                0.34972,                 0.3322,                0.22583,                 1.1793,                 2.2931,                 1.1329,             0.00041896,             0.00041896,             0.00041896
                      7,                  1.113,                0.92422,                 1.0229,                0.51139,                0.34122,                 0.3751,                 0.2404,                 1.2852,                 2.1616,                 1.2291,             0.00040995,             0.00040995,             0.00040995
                      8,                 1.0989,                0.87753,                 1.0225,                 0.5225,                0.38116,                0.37156,                0.25109,                 1.1537,                 2.0287,                 1.1521,             0.00040095,             0.00040095,             0.00040095
                      9,                 1.0697,                0.83301,                 1.0066,                0.47783,                0.41138,                0.39594,                0.28353,                 1.1075,                   2.05,                 1.1157,             0.00039194,             0.00039194,             0.00039194
                     10,                 1.0816,                0.82285,                 1.0169,                0.49137,                0.45603,                0.40616,                0.28752,                 1.1395,                 1.9796,                 1.1264,             0.00038293,             0.00038293,             0.00038293
                     11,                 1.0422,                0.77489,                0.99803,                0.61039,                0.38594,                0.41912,                0.29362,                 1.1587,                 1.8685,                 1.1255,             0.00037392,             0.00037392,             0.00037392
                     12,                 1.0225,                0.74889,                0.98946,                0.55531,                0.39765,                0.42177,                0.29892,                 1.1463,                 1.9953,                 1.1275,             0.00036491,             0.00036491,             0.00036491
                     13,                 1.0375,                0.73543,                 1.0018,                0.59281,                0.36487,                0.41756,                0.29892,                 1.1204,                 1.8262,                 1.1121,              0.0003559,              0.0003559,              0.0003559
                     14,                 1.0351,                0.72107,                0.99007,                0.78198,                 0.3756,                0.43446,                0.30708,                 1.0965,                  1.951,                 1.0899,             0.00034689,             0.00034689,             0.00034689
                     15,                 1.0173,                0.69877,                0.98048,                 0.6288,                0.32712,                0.39822,                0.28363,                 1.1053,                 1.9204,                 1.1237,             0.00033788,             0.00033788,             0.00033788
                     16,                0.98029,                0.68649,                0.97392,                0.56692,                0.39852,                0.43564,                 0.3049,                 1.0658,                 1.8399,                 1.0908,             0.00032887,             0.00032887,             0.00032887
                     17,                0.97723,                0.66221,                0.96978,                0.62205,                0.40274,                0.45906,                0.32273,                  1.101,                  1.898,                 1.0873,             0.00031986,             0.00031986,             0.00031986
                     18,                0.96043,                0.64468,                 0.9604,                0.60661,                0.36334,                0.43849,                0.30318,                 1.1288,                  1.895,                  1.101,             0.00031086,             0.00031086,             0.00031086
                     19,                0.96894,                 0.6475,                0.96229,                0.52025,                0.43685,                0.42248,                0.30563,                 1.0738,                 1.9258,                 1.0858,             0.00030185,             0.00030185,             0.00030185
                     20,                0.95668,                  0.628,                0.96052,                0.59929,                0.43494,                0.44921,                0.32021,                 1.0972,                 1.9484,                 1.1004,             0.00029284,             0.00029284,             0.00029284
                     21,                0.93551,                 0.6203,                 0.9545,                0.58074,                0.37843,                 0.4186,                0.30661,                 1.0488,                 1.9972,                 1.0906,             0.00028383,             0.00028383,             0.00028383
                     22,                0.93827,                0.60619,                0.94666,                0.50266,                0.47077,                0.45011,                0.31413,                 1.0978,                 1.9475,                 1.0868,             0.00027482,             0.00027482,             0.00027482
                     23,                0.91494,                0.59206,                0.93988,                0.51496,                0.44453,                0.44126,                0.32322,                 1.0728,                 1.8174,                 1.0998,             0.00026581,             0.00026581,             0.00026581
                     24,                0.93721,                0.58984,                0.94834,                0.53626,                0.45963,                0.42391,                0.29728,                 1.1096,                 1.9685,                 1.0923,              0.0002568,              0.0002568,              0.0002568
                     25,                0.90858,                0.57669,                0.93654,                0.59673,                0.39075,                 0.4282,                0.30713,                  1.112,                 1.9574,                 1.1153,             0.00024779,             0.00024779,             0.00024779
                     26,                0.91026,                0.57106,                0.93861,                0.58455,                0.42712,                0.43123,                0.30704,                 1.0999,                      2,                 1.0961,             0.00023878,             0.00023878,             0.00023878
                     27,                 0.9011,                0.56448,                0.94039,                0.63913,                0.39637,                0.44975,                0.32276,                 1.0273,                 1.8158,                 1.0725,             0.00022978,             0.00022978,             0.00022978
